user_id,item_id,rating
337c166f,f414122f-e,1
d38a19bf,fde50f9c-5,3
d7f5f0b0,0d96fc90-3,4
395d4994,964fc44b-d,2
a83c145c,d70e2fc6-e,3
3fdcdae8,0816ee12-5,2
12772337,d41e0b55-c,1
9f0194af,83b7dc04-5,3
7a8559d8,87c9c896-1,5
8911f0d1,31308875-b,3
98857e41,b2b1af7b-7,1
3b857e65,e221cf14-c,5
204fab33,8c9a5f54-b,4
88159234,eeb0635d-a,1
8c1f2f98,38aec303-2,3
a84d7206,69d91fbc-3,2
4578c08e,928b4b24-d,5
ba3964fa,12f03ff4-6,1
78595586,729191af-4,3
195e0c14,089c1cdd-0,3
7f6e9ab5,a38a732e-9,1
d33a1a62,4c021051-3,1
427a8468,e57d04f5-d,5
97f18950,b1d2560c-7,5
426308a5,4dc7c4a3-8,3
57c601ea,ce353020-f,4
a429364b,7fd8663b-b,4
928bddf9,b338a0b6-7,3
0f32a6f6,df52cac6-d,3
d71af9e5,d384b62b-c,3
b0d1473b,7004654f-0,5
9b99bfb0,5bfb14c4-f,1
de4cdcdd,411c40d9-1,1
5f57fbd4,d5b42863-c,1
87f21131,b896f670-9,2
f7d6dfab,6b5e4a98-0,4
ca363a04,7f05dd28-6,1
68d24203,3e56a630-e,1
0ae7336e,1dc3b1a0-4,5
72343250,cc379a88-b,2
021adfb6,1695a728-0,4
a9f47880,c66354db-6,5
005258a0,273c5035-2,4
5e088877,74b72b2f-7,4
f2e7bcc0,5e059f5f-7,5
5a1d9851,dd5071f5-c,3
cc672bd7,db828c6d-0,5
5c2f954d,db26458e-0,4
d5daed7a,ee59d876-b,5
0b32dc6f,919b53bb-2,4
a151d3b5,159dca37-7,1
e9fde811,af65c4a5-5,3
932c893c,847e77d3-d,4
b98d8283,e907e57c-b,1
4319ad38,f8495894-2,1
0b204db3,be68a8d8-7,5
eb65d1ca,e964198d-7,3
2ce76c47,c834b41d-5,2
e186c635,c4ddee78-e,3
8e9eae19,59718054-8,5
1100831a,0a46a91c-d,4
64b48c94,07ce9e62-a,1
88e9aac9,baff7ab2-1,4
a87b658a,2449a91f-2,2
f92a5812,273ceb78-0,4
158e8085,04dcad68-2,2
179ae4c5,6d1089e4-9,4
79aff6cb,32452d43-a,4
4e082c18,df40cf3d-6,4
3a475b95,42559644-1,2
57633cda,54c501ae-e,3
3f09b3c3,893343d5-d,2
12574fb0,ade73cc0-5,1
6b92aea5,663d067f-2,4
cf929cc7,bc84dcb8-5,4
c73916c0,56c95db1-7,2
ddae0858,4dd272cd-4,1
616fca83,c893a571-b,3
0ac5e876,60e53d02-0,5
5d31e0f4,568f353e-6,5
04cdb11d,c2d4aa98-b,4
e54b0416,ec8c9491-b,5
0d9f9cc3,dd1ca92d-a,2
8c2e8d5f,0fa064a8-d,1
849f6eb8,2ad0fe64-8,2
6964d7bb,9a0a1741-8,5
f9941dc2,b46f5c60-7,4
aa8f723f,214f0eed-f,3
0f78333d,c70fab41-e,3
94aa211f,fcbc5388-0,3
414b8fad,2257fd97-e,1
8f081976,34a952b4-a,5
41622516,5d9e94f3-1,4
0b3c2c9f,4ff5749c-e,3
b7f89b7e,74aeba43-c,2
458ce5f7,2228c622-f,1
b9fabe54,e907f4d3-9,5
2403105a,a7298172-c,4
7a5f0316,4118f1cc-3,2
e0424124,3b0a706d-2,1
b717743a,cd9ba20a-7,3
82d284f0,ec8c3655-e,1
83732a37,b3525981-b,3
d8e5dd07,3d832b43-e,1
458c8213,c40efcc0-2,2
b955c6ec,268ce5a6-f,4
1a4639c6,9822591f-3,3
b3cb8c3c,707c9b5c-c,4
3043e68e,cfe90194-b,4
ffda329b,bf258db9-2,1
b2ab489e,137695d9-6,3
56c6e554,f477647f-5,2
03ec5d73,5b91457c-3,2
3f20311f,c0712648-3,1
d5fb8686,412992e4-9,5
a3df5dd4,40ca8015-7,1
8fa5b154,bc26060a-5,4
f9b0b9bf,7f74df77-2,3
6b395741,aef8a1b7-f,4
367debf4,dbc17060-e,3
51dc4386,87d16f8f-2,3
6b4ec06c,4c54fc1d-0,2
313b6efb,7f15c4cf-6,4
c68d813a,a95d5384-7,4
3b327b6e,69ac51ab-8,3
bba6b57f,d516e842-3,1
98a9ccae,d706b082-4,1
021b5be9,459a15e9-f,5
2ea44e9d,4ccbd0eb-8,4
ccab3064,7b348c44-0,1
ab1add51,ced724ce-2,4
f979e9ea,4cebabca-e,1
8f30f97d,6b4b6852-a,5
b8e38e07,61a3694b-7,5
b1fe155c,4843631e-4,1
9daac50a,b503bda4-8,5
02f68644,c6e0579d-9,1
ab51add8,b93bd2ee-b,3
173a7d55,cf9bf8ad-9,5
c9939103,7ae18ecd-b,1
46b35e44,9f5d4e87-5,4
1b4424dd,0de24149-d,1
16b4c497,b1cd2571-8,2
ebbfafc3,6518b3f5-9,4
f2c0a566,2a0374d2-e,5
34dad111,119fec0d-2,5
aa7bdfa3,9e012e67-8,5
251c90d9,4b06ab84-e,3
598efd02,68235070-2,3
c5642517,477dbdaa-9,3
5e8aed36,e83298b7-c,4
7be076d6,968716f9-d,3
41118f59,5b7f1241-9,2
2da125c1,69a949eb-b,4
d6b94141,e2a4b6ca-c,2
823e9a88,90518d68-1,5
7391f331,1ee7bc15-5,3
6bdb1d9e,7b5dd212-c,4
ab7273bc,eb1e3cad-b,3
839f23dc,2838f818-c,3
42385946,9d19438f-d,5
c7978493,c45f28ae-1,3
b6df8c21,0f772bf6-b,5
c112eed4,42cf5d2e-e,1
92e87211,b2969904-5,5
a7a46866,8d276b60-e,1
a1adb0ae,d13b913f-9,2
f30003fb,5c2c5955-3,4
73bfc396,bc3bb60a-5,1
