item_id,category,price,discount,recency
f414122f-e,Sports,36.53,15,169
fde50f9c-5,Clothing,232.79,20,446
0d96fc90-3,Sports,317.02,25,241
964fc44b-d,Toys,173.19,25,394
d70e2fc6-e,Beauty,244.8,20,215
0816ee12-5,Books,241.86,50,265
d41e0b55-c,Toys,76.91,5,398
83b7dc04-5,Sports,213.23,20,336
87c9c896-1,Sports,379.81,5,429
31308875-b,Home & Kitchen,415.36,50,475
b2b1af7b-7,Books,73.09,10,191
e221cf14-c,Beauty,393.77,15,232
8c9a5f54-b,Home & Kitchen,287.69,10,418
eeb0635d-a,Sports,26.26,50,355
38aec303-2,Clothing,305.1,25,314
69d91fbc-3,Home & Kitchen,113.71,5,367
928b4b24-d,Toys,426.75,0,256
12f03ff4-6,Home & Kitchen,52.98,0,265
729191af-4,Electronics,223.89,0,321
089c1cdd-0,Clothing,166.75,0,219
a38a732e-9,Home & Kitchen,77.22,15,333
4c021051-3,Toys,28.6,25,376
e57d04f5-d,Books,395.73,15,174
b1d2560c-7,Home & Kitchen,351.87,0,242
4dc7c4a3-8,Toys,257.14,20,228
ce353020-f,Sports,332.0,20,452
7fd8663b-b,Toys,375.59,30,381
b338a0b6-7,Beauty,235.13,25,267
df52cac6-d,Electronics,352.95,50,268
d384b62b-c,Toys,245.98,15,306
7004654f-0,Toys,389.72,10,373
5bfb14c4-f,Home & Kitchen,88.07,30,205
411c40d9-1,Beauty,40.78,50,406
d5b42863-c,Toys,105.1,25,416
b896f670-9,Home & Kitchen,224.52,50,344
6b5e4a98-0,Books,300.81,5,333
7f05dd28-6,Toys,24.17,25,471
3e56a630-e,Clothing,95.41,15,374
1dc3b1a0-4,Clothing,490.77,10,270
cc379a88-b,Electronics,188.07,50,303
1695a728-0,Home & Kitchen,319.29,5,435
c66354db-6,Toys,403.4,10,248
273c5035-2,Electronics,303.14,0,348
74b72b2f-7,Home & Kitchen,337.81,25,316
5e059f5f-7,Clothing,449.74,10,227
dd5071f5-c,Sports,272.92,30,353
db828c6d-0,Home & Kitchen,432.89,15,430
db26458e-0,Home & Kitchen,310.86,10,182
ee59d876-b,Beauty,479.19,0,262
919b53bb-2,Home & Kitchen,350.61,10,331
159dca37-7,Books,154.62,50,204
af65c4a5-5,Toys,435.6,50,391
847e77d3-d,Toys,400.31,25,270
e907e57c-b,Electronics,15.81,25,357
f8495894-2,Toys,35.25,15,475
be68a8d8-7,Electronics,414.76,0,304
e964198d-7,Toys,334.47,30,248
c834b41d-5,Home & Kitchen,178.39,25,208
c4ddee78-e,Books,237.95,15,190
59718054-8,Electronics,458.12,15,244
0a46a91c-d,Beauty,286.5,5,263
07ce9e62-a,Sports,10.78,10,251
baff7ab2-1,Beauty,342.66,30,280
2449a91f-2,Sports,225.17,30,226
273ceb78-0,Clothing,405.45,25,286
04dcad68-2,Beauty,112.45,0,297
6d1089e4-9,Books,380.81,20,394
32452d43-a,Sports,394.12,25,417
df40cf3d-6,Sports,334.77,15,457
42559644-1,Clothing,125.65,10,428
54c501ae-e,Toys,202.26,20,229
893343d5-d,Clothing,173.51,20,458
ade73cc0-5,Toys,30.8,50,367
663d067f-2,Home & Kitchen,305.93,10,193
bc84dcb8-5,Clothing,282.5,5,381
56c95db1-7,Books,274.87,50,225
4dd272cd-4,Electronics,93.08,20,415
c893a571-b,Home & Kitchen,274.11,15,195
60e53d02-0,Sports,362.61,0,160
568f353e-6,Electronics,486.62,25,477
c2d4aa98-b,Home & Kitchen,336.49,20,239
ec8c9491-b,Toys,454.39,25,238
dd1ca92d-a,Home & Kitchen,215.44,50,312
0fa064a8-d,Clothing,33.02,15,224
2ad0fe64-8,Toys,138.83,10,316
9a0a1741-8,Books,490.71,5,416
b46f5c60-7,Toys,280.66,15,170
214f0eed-f,Books,327.4,30,231
c70fab41-e,Books,309.67,25,238
fcbc5388-0,Books,292.67,25,442
2257fd97-e,Clothing,40.87,15,415
34a952b4-a,Clothing,455.19,15,207
5d9e94f3-1,Toys,312.3,10,455
4ff5749c-e,Sports,193.28,10,323
74aeba43-c,Electronics,216.18,30,399
2228c622-f,Electronics,81.41,5,435
e907f4d3-9,Beauty,496.05,5,477
a7298172-c,Sports,357.54,15,319
4118f1cc-3,Electronics,133.93,0,371
3b0a706d-2,Clothing,90.2,10,458
cd9ba20a-7,Books,431.44,50,458
ec8c3655-e,Home & Kitchen,42.98,5,235
b3525981-b,Sports,182.04,0,250
3d832b43-e,Beauty,83.58,20,394
c40efcc0-2,Clothing,92.92,10,393
268ce5a6-f,Toys,388.1,25,306
9822591f-3,Beauty,417.57,50,433
707c9b5c-c,Sports,322.93,5,483
cfe90194-b,Toys,257.21,5,237
bf258db9-2,Home & Kitchen,29.92,50,364
137695d9-6,Home & Kitchen,239.67,15,459
f477647f-5,Beauty,163.3,30,334
5b91457c-3,Books,135.62,30,241
c0712648-3,Toys,61.84,50,376
412992e4-9,Sports,496.36,25,274
40ca8015-7,Toys,107.11,30,366
bc26060a-5,Electronics,384.8,25,205
7f74df77-2,Toys,377.75,50,340
aef8a1b7-f,Home & Kitchen,285.18,0,341
dbc17060-e,Books,187.86,0,431
87d16f8f-2,Sports,440.5,50,218
4c54fc1d-0,Beauty,124.56,0,379
7f15c4cf-6,Beauty,236.7,0,226
a95d5384-7,Clothing,397.16,30,201
69ac51ab-8,Beauty,248.95,15,381
d516e842-3,Sports,123.71,50,200
d706b082-4,Electronics,62.46,30,163
459a15e9-f,Electronics,451.3,20,322
4ccbd0eb-8,Sports,320.09,0,411
7b348c44-0,Toys,51.73,30,344
ced724ce-2,Toys,388.94,20,344
4cebabca-e,Sports,85.98,20,351
6b4b6852-a,Home & Kitchen,460.89,10,347
61a3694b-7,Home & Kitchen,492.64,20,297
4843631e-4,Sports,86.95,25,268
b503bda4-8,Beauty,416.65,15,299
c6e0579d-9,Toys,155.75,50,282
b93bd2ee-b,Clothing,238.9,25,378
cf9bf8ad-9,Beauty,470.33,0,383
7ae18ecd-b,Toys,62.48,20,332
9f5d4e87-5,Home & Kitchen,317.67,20,445
0de24149-d,Beauty,33.21,20,412
b1cd2571-8,Books,118.52,5,384
6518b3f5-9,Clothing,376.63,15,358
2a0374d2-e,Beauty,428.47,0,411
119fec0d-2,Beauty,462.91,20,302
9e012e67-8,Electronics,385.98,15,357
4b06ab84-e,Clothing,311.0,25,273
68235070-2,Toys,268.49,25,356
477dbdaa-9,Toys,185.46,10,322
e83298b7-c,Electronics,267.4,5,376
968716f9-d,Home & Kitchen,203.43,5,219
5b7f1241-9,Books,171.63,50,434
69a949eb-b,Electronics,326.01,0,201
e2a4b6ca-c,Electronics,147.71,0,325
90518d68-1,Clothing,390.2,0,453
1ee7bc15-5,Home & Kitchen,406.06,50,402
7b5dd212-c,Books,268.42,5,416
eb1e3cad-b,Beauty,210.36,10,164
2838f818-c,Home & Kitchen,285.47,20,333
9d19438f-d,Toys,494.46,10,255
c45f28ae-1,Clothing,287.09,20,385
0f772bf6-b,Clothing,378.27,0,397
42cf5d2e-e,Clothing,23.54,20,293
b2969904-5,Clothing,383.58,10,327
8d276b60-e,Sports,41.61,15,176
d13b913f-9,Toys,261.57,50,284
5c2c5955-3,Electronics,251.32,5,306
bc3bb60a-5,Sports,72.43,50,227
27e9782e-5,Sports,421.0,10,301
ab7ff487-1,Books,422.02,30,327
d5c83689-d,Toys,219.83,5,199
b7af74f2-2,Electronics,242.33,15,355
4750a3de-4,Clothing,334.28,15,358
7b7268d8-6,Books,148.21,50,251
1f251a5e-3,Home & Kitchen,275.11,50,248
8e964181-6,Home & Kitchen,211.85,20,337
5a8e414b-b,Sports,497.4,50,265
65a4da6f-6,Beauty,368.74,5,429
5a55a846-e,Home & Kitchen,260.82,0,450
7ce94426-b,Beauty,394.35,15,420
f391d9be-7,Home & Kitchen,459.03,20,262
cde121ac-d,Beauty,377.99,10,278
08562850-3,Sports,269.87,50,267
4263e65c-c,Beauty,458.8,50,309
43630740-4,Home & Kitchen,414.08,20,392
c3297364-0,Clothing,496.06,15,192
4d7b33d6-4,Books,295.86,30,183
16ee2335-1,Home & Kitchen,430.43,0,210
be9ec030-d,Sports,169.71,25,296
6eaed388-2,Clothing,315.8,0,161
31de3bd2-f,Home & Kitchen,154.33,25,269
88870a57-4,Home & Kitchen,197.33,25,251
df236be6-3,Toys,270.73,20,267
0a074647-b,Home & Kitchen,261.23,20,168
88ef8a42-2,Home & Kitchen,334.87,50,167
a0e0a691-6,Beauty,266.2,0,167
8afa06d8-5,Home & Kitchen,169.53,50,420
cc75f240-f,Clothing,332.57,0,437
0cf80cb2-8,Toys,398.85,10,219
6b4cb792-5,Home & Kitchen,180.6,0,218
eabbc369-2,Books,433.59,25,472
9883b500-1,Home & Kitchen,20.74,10,241
a8f16266-b,Electronics,17.01,30,341
da23cfa7-8,Electronics,34.13,50,417
6998026b-c,Home & Kitchen,11.14,15,407
bf309230-0,Home & Kitchen,206.97,0,187
f10370ff-5,Home & Kitchen,353.08,50,250
5fe989c9-0,Sports,67.36,25,171
18a5e79d-9,Books,203.49,30,365
8d0bdad7-4,Clothing,246.98,30,354
928d77c4-3,Books,368.25,20,165
f383159c-4,Books,327.19,20,179
8d255132-b,Sports,274.65,20,173
2cbe2f6f-c,Electronics,369.15,0,315
9ea32af8-e,Clothing,84.26,5,196
65ac8845-c,Books,255.74,25,330
93a8561e-7,Sports,440.74,30,231
41fbbdbc-9,Electronics,316.84,25,340
e2cdb444-c,Beauty,199.88,10,466
bcdf7628-1,Home & Kitchen,389.85,30,284
1115a4cc-1,Sports,317.98,5,281
a1d355b7-1,Home & Kitchen,165.06,30,169
a0354415-2,Books,192.48,15,329
96ef0dc9-6,Home & Kitchen,106.34,20,384
bc8f50c4-2,Electronics,404.92,50,190
8a124bf1-f,Toys,289.62,10,276
7951f51e-0,Beauty,129.89,5,374
28cfa86a-5,Home & Kitchen,41.2,5,289
612b78d4-f,Clothing,208.08,15,166
b91ead40-7,Sports,114.84,20,317
88c4fbee-6,Toys,430.16,20,455
12e1e7b7-7,Sports,431.98,25,480
743ba069-f,Home & Kitchen,472.77,20,397
4ee2c2d6-9,Sports,473.18,50,188
1c303802-d,Books,205.06,25,260
fe1e6a78-9,Beauty,485.71,20,327
3ba8563c-f,Sports,84.28,10,219
afda448a-a,Books,189.84,20,418
916025c8-f,Sports,366.4,15,230
ece88ff7-0,Clothing,93.05,50,350
9083e49d-7,Toys,398.16,5,376
c69635d9-f,Sports,326.51,20,338
23e7a67d-1,Toys,367.98,5,444
7bbba576-7,Toys,424.14,50,236
948a3b40-d,Clothing,359.51,30,353
b6bfe4cb-f,Toys,187.2,25,337
56f9b336-5,Home & Kitchen,232.12,5,246
ce4c61d2-d,Sports,236.78,25,311
d2f40c10-8,Sports,439.4,10,392
3d8c1bc0-8,Toys,133.33,5,346
1bec4273-5,Beauty,199.31,5,242
e570765e-b,Electronics,143.68,10,271
be05d6b5-2,Home & Kitchen,313.37,15,276
06ea5adb-3,Electronics,311.05,30,368
0d1765cc-2,Beauty,71.34,0,232
23eca2e3-4,Books,354.11,0,305
00bb902e-c,Books,163.91,10,220
c1cbbee6-d,Clothing,460.83,30,438
